source_table,source_column,target_table,target_column,constraint_name
access_tokens,user_id,users,user_id,access_tokens_user_id_fkey
access_tokens,user_id,users,user_id,fk_access_tokens_user
account_validity,user_id,users,user_id,account_validity_user_id_fkey
application_service_room_alias_namespaces,as_id,application_services,as_id,application_service_room_alias_namespaces_as_id_fkey
application_service_room_alias_namespaces,as_id,application_services,as_id,fk_application_service_room_alias_namespaces_as_id
application_service_room_namespaces,as_id,application_services,as_id,application_service_room_namespaces_as_id_fkey
application_service_room_namespaces,as_id,application_services,as_id,fk_application_service_room_namespaces_as_id
application_service_transactions,as_id,application_services,as_id,fk_application_service_transactions_as_id
application_service_user_namespaces,as_id,application_services,as_id,fk_application_service_user_namespaces_as_id
background_update_history,job_name,background_updates,job_name,background_update_history_job_name_fkey
backup_keys,user_id,users,user_id,fk_backup_keys_user_id
blocked_rooms,blocked_by,users,user_id,blocked_rooms_blocked_by_fkey
blocked_users,blocked_id,users,user_id,blocked_users_blocked_id_fkey
blocked_users,user_id,users,user_id,blocked_users_user_id_fkey
cas_tickets,user_id,users,user_id,fk_cas_tickets_user_id
cas_user_attributes,user_id,users,user_id,fk_cas_user_attributes_user_id
cross_signing_keys,user_id,users,user_id,fk_cross_signing_keys_user_id
device_keys,user_id,users,user_id,fk_device_keys_user_id
device_keys,user_id,users,user_id,fk_device_keys_user
device_signatures,user_id,users,user_id,fk_device_signatures_user_id
devices,user_id,users,user_id,devices_user_id_fkey
e2ee_secret_storage_keys,user_id,users,user_id,fk_e2ee_secret_storage_keys_user_id
e2ee_stored_secrets,user_id,users,user_id,fk_e2ee_stored_secrets_user_id
email_verification_tokens,user_id,users,user_id,fk_email_verification_tokens_user_id
event_receipts,room_id,rooms,room_id,fk_event_receipts_room_id
event_receipts,user_id,users,user_id,fk_event_receipts_user_id
event_report_history,report_id,event_reports,id,event_report_history_report_id_fkey
event_reports,reporter_user_id,users,user_id,event_reports_reporter_user_id_fkey
event_reports,room_id,rooms,room_id,event_reports_room_id_fkey
events,room_id,rooms,room_id,fk_events_room
events,room_id,rooms,room_id,fk_events_room_id
events,sender,users,user_id,fk_events_sender
friend_categories,user_id,users,user_id,friend_categories_user_id_fkey
friend_requests,receiver_id,users,user_id,friend_requests_receiver_id_fkey
friend_requests,sender_id,users,user_id,friend_requests_sender_id_fkey
friends,friend_id,users,user_id,friends_friend_id_fkey
friends,user_id,users,user_id,friends_user_id_fkey
inbound_megolm_sessions,room_id,rooms,room_id,fk_inbound_megolm_sessions_room_id
key_backups,user_id,users,user_id,fk_key_backups_user_id
media_quota,user_id,users,user_id,media_quota_user_id_fkey
media_repository,user_id,users,user_id,fk_media_repository_user_id
megolm_sessions,room_id,rooms,room_id,fk_megolm_sessions_room_id
private_messages,sender_id,users,user_id,private_messages_sender_id_fkey
private_messages,session_id,private_sessions,id,private_messages_session_id_fkey
private_sessions,user_id_1,users,user_id,private_sessions_user_id_1_fkey
private_sessions,user_id_2,users,user_id,private_sessions_user_id_2_fkey
push_device,user_id,users,user_id,fk_push_device_user_id
push_notification_log,user_id,users,user_id,fk_push_notification_log_user_id
push_notification_queue,user_id,users,user_id,fk_push_notification_queue_user_id
push_rules,user_id,users,user_id,fk_push_rules_user_id
push_stats,user_id,users,user_id,fk_push_stats_user_id
pushers,user_id,users,user_id,fk_pushers_user_id
read_markers,room_id,rooms,room_id,fk_read_markers_room_id
read_markers,user_id,users,user_id,fk_read_markers_user_id
receipts,room_id,rooms,room_id,fk_receipts_room_id
receipts,user_id,users,user_id,fk_receipts_user_id
refresh_token_families,user_id,users,user_id,refresh_token_families_user_id_fkey
refresh_tokens,user_id,users,user_id,refresh_tokens_user_id_fkey
refresh_tokens,user_id,users,user_id,fk_refresh_tokens_user
registration_token_batches,created_by,users,user_id,registration_token_batches_created_by_fkey
registration_token_usage,token_id,registration_tokens,id,registration_token_usage_token_id_fkey
registration_token_usage,user_id,users,user_id,registration_token_usage_user_id_fkey
registration_tokens,created_by,users,user_id,registration_tokens_created_by_fkey
report_rate_limits,user_id,users,user_id,report_rate_limits_user_id_fkey
retention_cleanup_logs,room_id,rooms,room_id,fk_retention_cleanup_logs_room_id
room_invites,invitee_user_id,users,user_id,room_invites_invitee_user_id_fkey
room_invites,inviter_user_id,users,user_id,room_invites_inviter_user_id_fkey
room_invites,room_id,rooms,room_id,room_invites_room_id_fkey
room_memberships,room_id,rooms,room_id,fk_room_memberships_room
room_memberships,user_id,users,user_id,fk_room_memberships_user
room_summaries,room_id,rooms,room_id,fk_room_summaries_room
room_summary_members,room_id,rooms,room_id,fk_room_summary_members_room
room_summary_state,room_id,rooms,room_id,fk_room_summary_state_room
room_summary_stats,room_id,rooms,room_id,fk_room_summary_stats_room
saml_sessions,user_id,users,user_id,fk_saml_sessions_user_id
saml_user_mapping,user_id,users,user_id,fk_saml_user_mapping_user_id
security_events,user_id,users,user_id,fk_security_events_user_id
space_children,added_by,users,user_id,fk_space_children_added_by
space_children,room_id,rooms,room_id,fk_space_children_room_id
space_children,space_id,spaces,space_id,fk_space_children_space
space_children,space_id,spaces,space_id,fk_space_children_space_id
space_members,space_id,spaces,space_id,fk_space_members_space
spaces,creator,users,user_id,fk_spaces_creator
spaces,parent_space_id,spaces,space_id,fk_spaces_parent_space_id
spaces,room_id,rooms,room_id,fk_spaces_room_id
thread_replies,room_id,rooms,room_id,fk_thread_replies_room_id
thread_replies,sender,users,user_id,fk_thread_replies_sender
thread_roots,creator,users,user_id,fk_thread_roots_creator
thread_roots,room_id,rooms,room_id,fk_thread_roots_room_id
thread_statistics,room_id,rooms,room_id,thread_statistics_room_id_fkey
thread_subscriptions,user_id,users,user_id,fk_thread_subscriptions_user_id
thumbnails,media_id,media_metadata,media_id,thumbnails_media_id_fkey
user_directory,room_id,rooms,room_id,user_directory_room_id_fkey
user_directory,user_id,users,user_id,user_directory_user_id_fkey
user_threepids,user_id,users,user_id,user_threepids_user_id_fkey
voice_messages,room_id,rooms,room_id,fk_voice_messages_room_id
voice_messages,user_id,users,user_id,fk_voice_messages_user_id
worker_commands,worker_id,active_workers,worker_id,worker_commands_worker_id_fkey
worker_connections,source_worker_id,workers,worker_id,fk_worker_connections_source_worker_id
worker_connections,target_worker_id,workers,worker_id,fk_worker_connections_target_worker_id
worker_events,worker_id,active_workers,worker_id,worker_events_worker_id_fkey
worker_health_checks,worker_id,workers,worker_id,fk_worker_health_checks_worker_id
worker_statistics,worker_id,active_workers,worker_id,worker_statistics_worker_id_fkey
worker_task_assignments,worker_id,active_workers,worker_id,worker_task_assignments_worker_id_fkey
